file,role,cv,transition,rhythm_jaccard,same_rhythm_mask,sound_same,sound_added,sound_removed,delta_notes_per_bar,delta_onsets_per_bar,delta_velocity_p50,delta_velocity_p90,delta_register_width,delta_polyphony_mean,delta_fine_subdivision_fraction,delta_offbeat_8th_fraction,delta_strum_fraction,delta_staccato_fraction,delta_legato_overlap_fraction
Factory Styles/60's Dance.mid,PERC,3,V1->V2,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/60's Dance.mid,PERC,3,V2->V3,0.8888888888888888,False,True,0,0,1.75,-0.25,0.0,0.0,0,0.26515,0.0,0.10204000000000002,0.0,0.0,0.0
Factory Styles/60's Dance.mid,PERC,3,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/60's Dance.mid,BASS,3,V1->V2,0.75,False,True,0,0,1.875,1.875,-7.0,-4.0,2,0.0,0.0,0.3818200000000001,0.0,0.07407,-0.06552000000000002
Factory Styles/60's Dance.mid,BASS,3,V2->V3,0.5555555555555556,False,True,0,0,-1.875,-1.875,6.0,2.200000000000003,-7,0.0,0.3,-0.48182000000000014,0.0,-0.07407,-0.03704
Factory Styles/60's Dance.mid,BASS,3,V3->V4,0.7142857142857143,False,True,0,0,0.75,0.75,0.0,1.7999999999999972,10,0.0,-0.21303999999999998,0.11739,0.0,0.0,0.15556
Factory Styles/60's Dance.mid,ACC1,3,V1->V2,0.625,False,True,0,0,-3.5,-7.0,-14.0,-6.0,0,0.3634599999999999,-0.04653999999999997,0.052659999999999985,0.10294,0.32882999999999996,-0.20772000000000002
Factory Styles/60's Dance.mid,ACC1,3,V2->V3,0.5384615384615384,False,True,0,0,-10.75,-6.5,20.0,7.400000000000006,6,-0.11538000000000004,-0.07939,-0.046619999999999995,-0.20652,-0.4275,0.24829999999999997
Factory Styles/60's Dance.mid,ACC1,3,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02740000000000009
Factory Styles/60's Dance.mid,ACC2,3,V1->V2,0.7777777777777778,False,True,0,0,1.0,0.125,-2.0,-2.0,5,0.13207999999999998,0.12308000000000001,-0.09487000000000001,0.0,0.018950000000000022,-0.23329999999999998
Factory Styles/60's Dance.mid,ACC2,3,V2->V3,0.9,False,True,0,0,3.5,2.625,0.0,0.0,-5,0.057109999999999994,0.02726999999999996,-0.003029999999999977,0.0,-0.11631000000000002,0.10754
Factory Styles/60's Dance.mid,ACC2,3,V3->V4,0.8,False,True,0,0,0.5,-0.75,4.0,2.0,-3,0.16375000000000006,-0.22726999999999997,0.027660000000000018,0.0,-0.05001999999999998,-0.16901
Factory Styles/60's Dance.mid,ACC3,3,V1->V2,0.3333333333333333,False,True,0,0,4.875,2.875,-2.0,0.0,17,0.30769,-0.55172,0.6856,0.0,-0.1168800000000001,0.24241999999999997
Factory Styles/60's Dance.mid,ACC3,3,V2->V3,0.7142857142857143,False,True,0,0,-0.5,-1.5,-4.0,-6.0,-14,0.29231000000000007,0.09375,-0.32353,0.41667,-0.08947,0.10679000000000005
Factory Styles/60's Dance.mid,ACC3,3,V3->V4,0.3,False,True,0,0,-0.5,1.5,4.0,6.0,2,-0.44615000000000005,0.17292000000000002,0.09999999999999998,-0.41667,-0.026100000000000012,-0.010230000000000017
Factory Styles/60's Dance.mid,DRUM,4,V1->V2,1.0,True,True,0,0,-0.75,-0.75,4.0,0.0,0,0.03489999999999993,0.0,-0.08699000000000001,0.125,0.036579999999999946,-0.03658
Factory Styles/60's Dance.mid,DRUM,4,V2->V3,1.0,True,True,0,0,0.75,0.75,-4.0,0.0,0,-0.03489999999999993,0.0,0.08699000000000001,-0.125,-0.036579999999999946,0.03658
Factory Styles/60's Dance.mid,DRUM,4,V3->V4,1.0,True,True,0,0,-0.75,-0.75,4.0,0.0,0,0.03489999999999993,0.0,-0.08699000000000001,0.125,0.036579999999999946,-0.03658
Factory Styles/60's Dance.mid,PERC,4,V1->V2,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/60's Dance.mid,PERC,4,V2->V3,0.8888888888888888,False,True,0,0,1.75,-0.25,0.0,0.0,0,0.26515,0.0,0.10204000000000002,0.0,0.0,0.0
Factory Styles/60's Dance.mid,PERC,4,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/60's Dance.mid,BASS,4,V1->V2,0.75,False,True,0,0,2.5,2.5,-7.0,-4.0,0,0.0,0.0,0.33332999999999996,0.0,0.0678,-0.10256000000000001
Factory Styles/60's Dance.mid,BASS,4,V2->V3,0.625,False,True,0,0,-3.0,-3.0,6.0,2.0,0,0.0,0.22222,-0.42222,0.0,-0.0678,0.0
Factory Styles/60's Dance.mid,BASS,4,V3->V4,0.8333333333333334,False,True,0,0,1.0,1.0,0.0,2.0,5,0.0,-0.22222,0.16161999999999999,0.0,0.0,0.18605
Factory Styles/60's Dance.mid,ACC1,4,V1->V2,0.625,False,True,0,0,-3.5,-7.0,-14.0,-6.0,0,0.3634599999999999,-0.04653999999999997,0.052659999999999985,0.10294,0.32882999999999996,-0.20772000000000002
Factory Styles/60's Dance.mid,ACC1,4,V2->V3,0.5384615384615384,False,True,0,0,-10.75,-6.5,20.0,7.400000000000006,6,-0.11538000000000004,-0.07939,-0.046619999999999995,-0.20652,-0.4275,0.24829999999999997
Factory Styles/60's Dance.mid,ACC1,4,V3->V4,1.0,True,True,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
Factory Styles/60's Dance.mid,ACC2,4,V1->V2,1.0,True,True,0,0,0.5,0.0,0.0,0.0,0,0.0769200000000001,0.20879000000000003,-0.17583,0.0,-0.017109999999999986,-0.17968000000000006
Factory Styles/60's Dance.mid,ACC2,4,V2->V3,0.7,False,True,0,0,3.75,2.5,-2.0,-2.0,0,0.11751999999999985,-0.05315000000000006,0.06312999999999996,0.0,-0.07700000000000001,0.038500000000000034
Factory Styles/60's Dance.mid,ACC2,4,V3->V4,0.8,False,True,0,0,0.75,-0.5,4.0,2.0,0,0.15850000000000009,-0.23255999999999996,0.04246000000000005,0.0,-0.053269999999999984,-0.15358999999999995
Factory Styles/60's Dance.mid,ACC3,4,V1->V2,0.3333333333333333,False,True,0,0,4.875,2.875,-2.0,0.0,17,0.30769,-0.55172,0.6856,0.0,-0.1168800000000001,0.24241999999999997
Factory Styles/60's Dance.mid,ACC3,4,V2->V3,0.7142857142857143,False,True,0,0,-0.5,-1.5,-4.0,-6.0,-14,0.29231000000000007,0.09375,-0.32353,0.41667,-0.08947,0.10679000000000005
Factory Styles/60's Dance.mid,ACC3,4,V3->V4,0.3,False,True,0,0,-0.5,1.5,4.0,6.0,2,-0.44615000000000005,0.17292000000000002,0.09999999999999998,-0.41667,-0.026100000000000012,-0.010230000000000017
