file,cv,transition,active_roles_delta,added_roles,removed_roles,notes_per_bar_delta,velocity_p50_delta,fine_subdivision_delta,polyphony_delta
Factory Styles/Ballad 6_8 2.mid,1,V1->V2,1,"[""ACC1"",""PERC""]","[""DRUM""]",26.5,12.0,0.0,-0.5644189855072466
Factory Styles/Ballad 6_8 2.mid,1,V2->V3,4,"[""ACC2"",""ACC3"",""ACC5"",""DRUM""]",[],27.0,1.0,0.0,-0.16639372549019615
Factory Styles/Ballad 6_8 2.mid,1,V3->V4,0,[],[],20.5,12.0,0.0,0.14819406913280808
Factory Styles/Bar Country.mid,1,V1->V2,2,"[""ACC1"",""ACC3""]",[],30.375,-1.0,-0.0145025231500866,0.273138489613864
Factory Styles/Bar Country.mid,1,V2->V3,1,"[""ACC4""]",[],1.875,-1.0,0.01147587190166327,-0.08286261186654276
Factory Styles/Bar Country.mid,1,V3->V4,0,[],[],46.875,5.0,-0.028225101322312762,-0.05701616146391353
Factory Styles/Bar Country.mid,2,V3->V4,0,[],[],47.375,5.0,-0.026366259835566397,-0.05529870038570839
Factory Styles/Bar Country.mid,3,V3->V4,0,[],[],47.625,5.0,-0.027275007840682264,-0.07018928803750502
Factory Styles/Barry Dance.mid,1,V1->V2,0,[],[],25.5,4.0,-0.0012615215186742518,-0.034458706035122466
Factory Styles/Barry Dance.mid,1,V2->V3,1,"[""ACC4""]",[],15.75,4.0,-0.004971709531297674,0.04873899828666639
Factory Styles/Barry Dance.mid,1,V3->V4,0,[],[],5.75,3.0,-4.766986267474931e-05,-0.01573047239061398
Factory Styles/Barry Dance.mid,2,V1->V2,0,[],[],25.5,4.0,-0.0012525475243147658,-0.03469722277483056
Factory Styles/Barry Dance.mid,2,V2->V3,1,"[""ACC4""]",[],16.0,4.0,-0.002049282200357783,0.04497280895945144
Factory Styles/Barry Dance.mid,2,V3->V4,0,[],[],10.25,3.0,-0.00024505263661594393,-0.0065343073898618265
Factory Styles/Barry Dance.mid,3,V1->V2,0,[],[],25.5,4.0,-0.0012615215186742518,-0.034458706035122466
Factory Styles/Barry Dance.mid,3,V2->V3,1,"[""ACC4""]",[],16.5,4.0,-0.002070472220145069,0.046869114353548236
Factory Styles/Barry Dance.mid,3,V3->V4,0,[],[],10.25,3.0,-0.00024579337735668345,-0.004185006978339345
Factory Styles/Bavarian Pop.mid,1,V1->V2,1,"[""ACC5""]",[],6.0,0.0,0.006620090477766738,-0.026708264371620993
Factory Styles/Bavarian Pop.mid,1,V2->V3,1,"[""ACC3""]",[],27.0,-5.0,0.18994157660818717,-0.17281676959064307
Factory Styles/Bavarian Pop.mid,1,V3->V4,0,[],[],6.0,-1.0,-0.022053268073136456,0.012773110548523148
Factory Styles/Bavarian Pop.mid,2,V1->V2,1,"[""ACC5""]",[],6.0,0.0,0.006620090477766738,-0.026708264371620993
Factory Styles/Bavarian Pop.mid,2,V2->V3,1,"[""ACC3""]",[],27.0,-5.0,0.18994157660818717,-0.17281676959064307
Factory Styles/Bavarian Pop.mid,2,V3->V4,0,[],[],6.0,-1.0,-0.022053268073136456,0.012773110548523148
Factory Styles/Bavarian Pop.mid,3,V1->V2,1,"[""ACC5""]",[],6.0,0.0,0.08893279046673286,-0.22787785501489566
Factory Styles/Bavarian Pop.mid,3,V2->V3,1,"[""ACC3""]",[],27.0,-2.0,0.1405848514619883,0.01768615438596477
Factory Styles/Bavarian Pop.mid,3,V3->V4,0,[],[],6.0,-1.0,-0.023403479043600517,0.010581043037974691
Factory Styles/Big Band 40's.mid,1,V1->V2,0,[],[],-4.5,-7.0,-0.06316226254965684,0.03611076561935689
Factory Styles/Big Band 40's.mid,1,V2->V3,0,[],[],11.5,0.0,0.020946733163102416,0.17727620065964467
Factory Styles/Big Band 40's.mid,1,V3->V4,0,[],[],13.875,2.0,-0.05330537047014622,0.335851988902339
Factory Styles/Big Band 40's.mid,2,V1->V2,0,[],[],-4.5,-7.0,-0.06316226254965684,0.03611076561935689
Factory Styles/Big Band 40's.mid,2,V2->V3,0,[],[],10.875,0.0,0.016300992581841645,0.1873627640703115
Factory Styles/Big Band 40's.mid,2,V3->V4,0,[],[],14.5,2.0,-0.04865962988888545,0.3257654254916722
Factory Styles/Big Band 40's.mid,3,V1->V2,0,[],[],-4.375,-7.0,-0.06402134084987327,0.021875195418032067
Factory Styles/Big Band 40's.mid,3,V2->V3,0,[],[],10.75,0.0,0.017160070882058065,0.20159833427163631
Factory Styles/Big Band 40's.mid,3,V3->V4,0,[],[],14.5,2.0,-0.04865962988888545,0.3257654254916722
Factory Styles/Big Band 40's.mid,4,V1->V2,0,[],[],1.0,0.0,-0.013965355464238716,0.07924290172696247
Factory Styles/Big Band 40's.mid,4,V2->V3,0,[],[],6.0,-1.0,-0.015665645291619235,0.1720547369729617
Factory Styles/Big Band 40's.mid,4,V3->V4,0,[],[],7.5,1.0,-0.045434008698561346,0.23179373435931727
Factory Styles/Big Band Fox.mid,1,V1->V2,1,"[""ACC3""]",[],5.0,2.0,-0.013349400123918165,0.015290268676892982
Factory Styles/Big Band Fox.mid,1,V2->V3,1,"[""ACC4""]",[],7.25,1.0,-0.0012142047026278968,0.07617128369448278
Factory Styles/Big Band Fox.mid,1,V3->V4,1,"[""ACC5""]",[],6.0,0.0,-0.04527585034013604,0.09479251171579772
Factory Styles/Big Band Fox.mid,2,V1->V2,1,"[""ACC3""]",[],5.0,-1.0,-0.010121811124213842,0.03474781348270439
Factory Styles/Big Band Fox.mid,2,V2->V3,1,"[""ACC4""]",[],7.25,1.5,0.00469737669302428,0.10514635383230253
Factory Styles/Big Band Fox.mid,2,V3->V4,1,"[""ACC5""]",[],6.0,1.0,-0.04620536725906199,0.12877174994128238
Factory Styles/Big Band Fox.mid,3,V1->V2,1,"[""ACC3""]",[],2.75,-0.5,-0.010929569969453934,0.03648816342115313
Factory Styles/Big Band Fox.mid,3,V2->V3,1,"[""ACC4""]",[],3.625,1.0,0.004175677059712668,0.10203060619803472
Factory Styles/Big Band Fox.mid,3,V3->V4,1,"[""ACC5""]",[],3.375,1.0,-0.03672009018607436,0.13917666776710713
Factory Styles/Big Band Jump.mid,1,V1->V2,1,"[""PERC""]",[],12.0,16.0,0.027190275974025957,0.16009889610389605
Factory Styles/Big Band Jump.mid,1,V2->V3,1,"[""ACC3""]",[],45.75,4.0,0.05189443532818527,-0.2555445349245349
Factory Styles/Big Band Jump.mid,1,V3->V4,1,"[""ACC4""]",[],21.375,7.0,-0.0095933151323912,0.02988654652714562
Factory Styles/Big Band Jump.mid,2,V1->V2,1,"[""PERC""]",[],14.0,16.0,0.03356810864551024,0.2712907897876402
Factory Styles/Big Band Jump.mid,2,V2->V3,1,"[""ACC3""]",[],45.75,3.0,0.04381129407737072,-0.4896666902106346
Factory Styles/Big Band Jump.mid,2,V3->V4,1,"[""ACC4""]",[],21.125,8.0,-0.010472425278252484,-0.00908169421949978
Factory Styles/Big Band Jump.mid,3,V1->V2,1,"[""PERC""]",[],14.0,16.0,0.03356488029905358,0.21530393939393955
Factory Styles/Big Band Jump.mid,3,V2->V3,1,"[""ACC3""]",[],46.0,3.0,0.044962858735123845,-0.4426322831050231
Factory Styles/Big Band Jump.mid,3,V3->V4,1,"[""ACC4""]",[],31.625,6.0,0.008926502137503955,0.22948378000493452
Factory Styles/Bigger Band.mid,1,V1->V2,1,"[""ACC1""]",[],9.0,8.0,0.054878640485784,-0.4237827259519893
Factory Styles/Bigger Band.mid,1,V2->V3,2,"[""ACC5"",""PERC""]",[],21.0,10.0,-0.15239819275392422,-0.03041325942850337
Factory Styles/Bigger Band.mid,1,V3->V4,-1,[],"[""ACC1""]",30.25,1.0,-0.09257763715692423,0.20956235489078923
Factory Styles/Bigger Band.mid,2,V1->V2,1,"[""ACC1""]",[],9.625,2.0,0.03168153819411819,0.02276817946067844
Factory Styles/Bigger Band.mid,2,V2->V3,2,"[""ACC5"",""PERC""]",[],18.25,13.0,0.0005688516022117202,-0.1803047442250798
Factory Styles/Bigger Band.mid,2,V3->V4,-1,[],"[""ACC1""]",21.875,2.0,-0.07721786303209574,0.2209950454179701
Factory Styles/Bigger Band.mid,3,V1->V2,1,"[""ACC1""]",[],8.375,4.0,0.04960980181818181,-1.0358183506493508
Factory Styles/Bigger Band.mid,3,V2->V3,2,"[""ACC5"",""PERC""]",[],16.5,13.0,0.08654942043392508,-0.196016118343195
Factory Styles/Bigger Band.mid,3,V3->V4,-1,[],"[""ACC1""]",8.5,13.0,-0.2082878621730555,0.2852098922562387
Factory Styles/Black Funk.mid,1,V1->V2,1,"[""ACC3""]",[],27.5,-12.0,0.11376531531531531,0.13084606117745645
Factory Styles/Black Funk.mid,1,V2->V3,1,"[""ACC2""]",[],12.5,9.5,0.021896125541125577,0.05489697322057796
Factory Styles/Black Funk.mid,1,V3->V4,1,"[""ACC4""]",[],20.0,-1.5,-0.017941709733565403,0.562819212746017
Factory Styles/Black Funk.mid,2,V1->V2,1,"[""ACC3""]",[],27.5,-15.0,0.11591038569706708,0.1322688830855765
Factory Styles/Black Funk.mid,2,V2->V3,1,"[""ACC2""]",[],11.5,10.0,0.02250396153464862,0.0657832358481214
Factory Styles/Black Funk.mid,2,V3->V4,1,"[""ACC4""]",[],20.0,-4.0,-0.016602909358682583,0.5619610389610388
Factory Styles/Blue Ballad.mid,1,V1->V2,1,"[""ACC3""]",[],2.0,6.0,0.0,0.1506053268765133
Factory Styles/Blue Ballad.mid,1,V2->V3,2,"[""ACC2"",""ACC4""]",[],18.0,-18.0,0.1414141414141414,-0.2831168831168829
Factory Styles/Blue Ballad.mid,1,V3->V4,1,"[""ACC5""]",[],20.5,-2.5,-0.0414141414141414,0.0206415259740258
Factory Styles/Bluegrass.mid,1,V1->V2,1,"[""ACC4""]",[],22.125,0.0,0.051032547683923735,-0.013832298196351678
Factory Styles/Bluegrass.mid,1,V2->V3,1,"[""DRUM""]",[],10.375,0.0,-0.1607328169617695,-0.016125221652286692
Factory Styles/Bluegrass.mid,1,V3->V4,0,[],[],22.0,-1.0,0.10288345155377726,0.027692560284291234
Factory Styles/Bluegrass.mid,2,V1->V2,1,"[""ACC4""]",[],22.625,0.0,0.04859573170731707,-0.014721314168527844
Factory Styles/Bluegrass.mid,2,V2->V3,1,"[""DRUM""]",[],9.875,0.0,-0.15951967295578706,-0.015236205680110526
Factory Styles/Bluegrass.mid,2,V3->V4,0,[],[],22.5,-1.0,0.10253543573192037,0.02698808371258221
