msb,lsb,program,sound,styles,roles,elements,counts,cc_thresholds,pitchbend,aftertouch,nrpn,rpn
121,3,33,Finger E.Bass2,12,"[[""BASS"",10699]]","[[""Variation 4"",2775],[""Ending 1"",1959],[""Variation 1"",1860],[""Variation 2"",896],[""Variation 3"",746],[""Intro 1"",618],[""Fill 2"",439],[""Ending 2"",399],[""Intro 2"",353],[""Ending 3"",260],[""Fill 1"",254],[""Break"",99],[""Intro 3"",41]]","{""cc:11"":155,""cc:7"":155,""cc:0"":155,""cc:22"":125,""cc:32"":152,""pb"":1996,""cc:64"":23}","{""64"":{""n"":23,""ge64"":0,""zero"":23,""max"":0}}","{""n"":1996,""nonzero"":1900,""positive"":343,""negative"":1557,""zero"":96,""max_abs"":8191,""summary"":{""min"":-7680.0,""p01"":-7168.0,""p05"":-6401.0,""p10"":-5632.0,""p25"":-4096.0,""p50"":-2049.0,""p75"":-256.0,""p90"":3328.0,""p95"":5631.0,""p99"":7680.0,""max"":8191.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,1,71,Jazz Clarinet,10,"[[""ACC5"",6058],[""ACC4"",1779],[""ACC2"",325],[""ACC3"",276],[""ACC1"",130]]","[[""Intro 1"",1883],[""Ending 1"",1731],[""Variation 4"",1671],[""Variation 3"",1119],[""Variation 2"",876],[""Fill 2"",359],[""Ending 3"",228],[""Ending 2"",223],[""Intro 2"",215],[""Fill 1"",162],[""Break"",51],[""Intro 3"",26],[""Variation 1"",24]]","{""cc:22"":159,""cc:11"":108,""cc:7"":108,""cc:0"":108,""cc:32"":101,""cc:1"":1505,""pb"":629}","{""1"":{""n"":1505,""ge64"":593,""zero"":79,""max"":127}}","{""n"":629,""nonzero"":544,""positive"":6,""negative"":538,""zero"":85,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-7663.0,""p05"":-5641.4,""p10"":-4225.0,""p25"":-2561.0,""p50"":-1600.0,""p75"":-397.0,""p90"":0.0,""p95"":0.0,""p99"":0.0,""max"":692.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,15,27,Clean Gtr Pro2,7,"[[""ACC2"",14745],[""ACC3"",4351]]","[[""Variation 3"",3866],[""Variation 2"",3859],[""Variation 4"",2357],[""Intro 1"",2007],[""Ending 1"",1944],[""Variation 1"",1862],[""Ending 2"",1032],[""Intro 2"",933],[""Ending 3"",438],[""Fill 2"",352],[""Fill 1"",312],[""Break"",101],[""Intro 3"",33]]","{""cc:1"":384,""pb"":1708,""cc:11"":107,""cc:7"":107,""cc:0"":107,""cc:32"":93,""cc:22"":96}","{""1"":{""n"":384,""ge64"":116,""zero"":104,""max"":88}}","{""n"":1708,""nonzero"":1465,""positive"":737,""negative"":728,""zero"":243,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-8191.0,""p05"":-7177.0,""p10"":-5473.0,""p25"":-2838.0,""p50"":0.0,""p75"":810.0,""p90"":1579.0,""p95"":2216.65,""p99"":4096.0,""max"":5197.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
120,0,66,Trinity Perc.Kit,36,"[[""PERC"",94546]]","[[""Variation 4"",19918],[""Variation 1"",15854],[""Ending 1"",14245],[""Variation 3"",13160],[""Intro 1"",12652],[""Variation 2"",6466],[""Ending 2"",3349],[""Intro 2"",3199],[""Fill 2"",2121],[""Ending 3"",1429],[""Fill 1"",1381],[""Break"",448],[""Intro 3"",324]]","{""cc:11"":512,""cc:7"":512,""cc:0"":512,""cc:32"":512,""cc:22"":495,""pb"":58}",{},"{""n"":58,""nonzero"":53,""positive"":33,""negative"":20,""zero"":5,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-8192.0,""p05"":-8082.0,""p10"":-8074.9,""p25"":-3546.0,""p50"":62.0,""p75"":2883.0,""p90"":5541.5,""p95"":6761.0,""p99"":7412.0,""max"":7412.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
120,0,5,Standard Kit RX1,34,"[[""DRUM"",98966],[""PERC"",3370]]","[[""Variation 4"",20548],[""Variation 1"",17552],[""Ending 1"",13881],[""Variation 3"",13135],[""Intro 1"",11124],[""Variation 2"",9487],[""Ending 2"",3920],[""Intro 2"",3797],[""Fill 2"",2691],[""Ending 3"",2179],[""Fill 1"",1829],[""Break"",1252],[""Intro 3"",941]]","{""cc:11"":514,""cc:7"":514,""cc:0"":514,""cc:32"":514,""cc:22"":398}",{},"{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
120,0,34,Jazz Kit RX2,32,"[[""DRUM"",86401]]","[[""Variation 4"",15637],[""Ending 1"",12870],[""Variation 1"",11869],[""Variation 3"",10553],[""Variation 2"",10219],[""Intro 1"",9397],[""Ending 2"",4664],[""Intro 2"",3819],[""Ending 3"",2067],[""Fill 2"",1953],[""Fill 1"",1577],[""Break"",1034],[""Intro 3"",742]]","{""cc:11"":476,""cc:7"":476,""cc:0"":476,""cc:32"":476,""cc:22"":294,""cc:64"":14}","{""64"":{""n"":14,""ge64"":0,""zero"":14,""max"":0}}","{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
120,0,89,Pop Std. Kit 1,19,"[[""DRUM"",32737],[""PERC"",10927]]","[[""Variation 1"",7623],[""Intro 1"",6536],[""Ending 1"",5718],[""Variation 4"",4330],[""Variation 3"",4135],[""Variation 2"",3600],[""Intro 2"",2865],[""Ending 2"",2696],[""Fill 1"",1702],[""Fill 2"",1619],[""Ending 3"",1343],[""Break"",862],[""Intro 3"",635]]","{""cc:11"":481,""cc:7"":481,""cc:0"":481,""cc:32"":481,""cc:22"":230}",{},"{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,14,24,Nylon Slide Pro,9,"[[""ACC1"",5403],[""ACC2"",4625],[""ACC3"",2620],[""ACC5"",1041]]","[[""Variation 4"",2880],[""Ending 1"",2110],[""Variation 3"",2076],[""Intro 1"",1723],[""Variation 1"",1640],[""Variation 2"",1188],[""Intro 2"",754],[""Ending 2"",358],[""Fill 2"",341],[""Ending 3"",256],[""Fill 1"",207],[""Break"",88],[""Intro 3"",68]]","{""cc:11"":117,""cc:7"":117,""cc:0"":117,""cc:32"":115,""cc:22"":90,""cc:64"":32,""cc:8"":2,""cc:67"":2,""cc:100"":2,""cc:103"":1,""cc:5"":1,""cc:66"":1,""cc:110"":1,""cc:121"":1,""cc:14"":1,""cc:19"":1,""cc:108"":1,""pb"":1145,""cc:1"":334}","{""1"":{""n"":334,""ge64"":92,""zero"":12,""max"":115},""64"":{""n"":32,""ge64"":16,""zero"":16,""max"":127}}","{""n"":1145,""nonzero"":926,""positive"":500,""negative"":426,""zero"":219,""max_abs"":8191,""summary"":{""min"":-8178.0,""p01"":-4096.0,""p05"":-513.0,""p10"":-385.0,""p25"":-256.0,""p50"":0.0,""p75"":384.0,""p90"":640.0,""p95"":1151.0,""p99"":5348.0,""max"":8191.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
121,14,28,Clean Guitar RX1,17,"[[""ACC2"",33319],[""ACC3"",6184],[""ACC1"",3086],[""ACC5"",1986],[""ACC4"",991]]","[[""Variation 1"",11202],[""Ending 1"",7353],[""Variation 4"",6181],[""Intro 1"",6022],[""Variation 3"",4939],[""Variation 2"",2897],[""Intro 2"",1990],[""Ending 2"",1839],[""Ending 3"",1283],[""Fill 2"",893],[""Fill 1"",601],[""Break"",252],[""Intro 3"",114]]","{""cc:11"":210,""cc:7"":211,""cc:0"":210,""cc:32"":205,""pb"":793,""cc:22"":171,""cc:1"":269,""cc:8"":3,""cc:67"":4,""cc:116"":1,""cc:100"":1,""cc:103"":1,""cc:6"":1,""cc:66"":1}","{""1"":{""n"":269,""ge64"":147,""zero"":26,""max"":127}}","{""n"":793,""nonzero"":735,""positive"":49,""negative"":686,""zero"":58,""max_abs"":8192,""summary"":{""min"":-8192.0,""p01"":-8192.0,""p05"":-8087.6,""p10"":-7655.0,""p25"":-5735.0,""p50"":-3366.0,""p75"":-1018.0,""p90"":0.0,""p95"":403.0,""p99"":6761.0,""max"":8064.0}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
120,0,2,Standard Kit RX3,24,"[[""DRUM"",55799],[""PERC"",1950]]","[[""Variation 4"",12493],[""Variation 2"",8592],[""Variation 3"",8556],[""Ending 1"",7439],[""Variation 1"",5478],[""Intro 1"",4437],[""Ending 2"",3004],[""Intro 2"",1869],[""Fill 2"",1670],[""Ending 3"",1534],[""Fill 1"",1401],[""Break"",809],[""Intro 3"",467]]","{""cc:11"":414,""cc:7"":414,""cc:0"":414,""cc:32"":414,""cc:22"":297}",{},"{""n"":0,""nonzero"":0,""positive"":0,""negative"":0,""zero"":0,""max_abs"":0,""summary"":{}}","{""n"":0,""ge90"":0,""summary"":{}}",[],[]
