profile_id,origin,msb,lsb,program,sound,family,role,support_grade,styles,notes,stability,observed_fields,explicit_unknowns,exact_manual_dnc,community_candidates,completion_state
2e0e0b44083da1cd0dea,FACTORY_CORPUS,120,0,9,HipHop Kit 1,DRUM_KIT,PERC,FALLBACK,2,2594,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
659ce40a53c423f867cd,FACTORY_CORPUS,120,0,10,Jungle Kit,DRUM_KIT,DRUM,FALLBACK,2,2607,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
dee09e00d7949cc1dd10,FACTORY_CORPUS,120,0,11,Techno Kit 1,DRUM_KIT,DRUM,LIMITED,4,4338,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
74a209df6055212cd44c,FACTORY_CORPUS,120,0,12,Room Kit 2,DRUM_KIT,DRUM,FALLBACK,2,1117,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
ebe0b74cabb145c268b6,FACTORY_CORPUS,120,0,13,HipHop Kit 2,DRUM_KIT,PERC,GOOD,6,3629,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
24cbf7112ebd4929afda,FACTORY_CORPUS,120,0,15,Techno Kit 3,DRUM_KIT,PERC,LIMITED,3,4271,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
6a2066330e086dd2f423,FACTORY_CORPUS,120,0,17,Power Kit 2,DRUM_KIT,PERC,FALLBACK,1,1769,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
55d92943e7436920625b,FACTORY_CORPUS,120,0,18,Power Kit RX1,DRUM_KIT,DRUM,LIMITED,3,1059,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
3056f100b3055e881db5,FACTORY_CORPUS,120,0,19,Power Kit RX2,DRUM_KIT,PERC,FALLBACK,1,1182,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
a102ed5ce9579c9ed81b,FACTORY_CORPUS,120,0,26,House Kit 1,DRUM_KIT,DRUM,GOOD,6,7740,MODERATE,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
83e22ca3ee37b8490761,FACTORY_CORPUS,120,0,27,House Kit 2,DRUM_KIT,DRUM,GOOD,6,9085,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
07a592bf34fc24b2bd32,FACTORY_CORPUS,120,0,28,House Kit 3,DRUM_KIT,PERC,GOOD,7,5422,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
780ecda3fd1e33acf722,FACTORY_CORPUS,120,0,30,House Kit RX1,DRUM_KIT,DRUM,STRONG,10,15297,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
ea7e3af2e67b2df9ef41,FACTORY_CORPUS,120,0,31,House Kit RX2,DRUM_KIT,PERC,GOOD,7,8317,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
9c0d511099e8a6556a62,FACTORY_CORPUS,120,0,32,Jazz Kit GM,DRUM_KIT,DRUM,LIMITED,3,1859,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
3e30ac02bb10cc6e0090,FACTORY_CORPUS,120,0,33,Jazz Kit RX1,DRUM_KIT,DRUM,STRONG,25,31851,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
f43a3cac5ee1e3b368ba,FACTORY_CORPUS,120,0,34,Jazz Kit RX2,DRUM_KIT,DRUM,STRONG,32,42237,CONTEXT_DEPENDENT,16,4,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
dbe602cca69a11e0e71a,FACTORY_CORPUS,120,0,35,Jazz Kit RX2,DRUM_KIT,DRUM,FALLBACK,1,53,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
637c1f73e6bb465b81ed,FACTORY_CORPUS,120,0,35,Jazz Kit RX3,DRUM_KIT,DRUM,GOOD,5,6509,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
c6a446c41f8c24d54a21,FACTORY_CORPUS,120,0,41,Brush Kit 2,DRUM_KIT,DRUM,STRONG,10,11276,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
61d33b89a2da55dbe7c2,FACTORY_CORPUS,120,0,42,Brush Kit RX1,DRUM_KIT,DRUM,STRONG,22,23964,CONTEXT_DEPENDENT,16,4,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
778a2a2c43fa4ca2c99b,FACTORY_CORPUS,120,0,43,Brush Kit RX2,DRUM_KIT,DRUM,STRONG,10,12030,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
af1ebab47bbb6db35e83,FACTORY_CORPUS,120,0,48,Orchestra Kit GM,DRUM_KIT,DRUM,GOOD,7,7144,CONTEXT_DEPENDENT,16,4,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
27b4e0bba33797aae8f9,FACTORY_CORPUS,120,0,50,Bdrum&Sdrum Kit,DRUM_KIT,PERC,LIMITED,4,2319,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
a109e395b61984b71f17,FACTORY_CORPUS,120,0,51,Arabian Kit 1,DRUM_KIT,PERC,FALLBACK,1,1000,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
ad88d3c0c37322f42c0b,FACTORY_CORPUS,120,0,56,SFX Kit GM,DRUM_KIT,PERC,FALLBACK,1,915,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
1d8e73487ba7968b4741,FACTORY_CORPUS,120,0,57,SFX Kit 2,DRUM_KIT,PERC,FALLBACK,1,922,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
94dc8b7f915461b8c4bf,FACTORY_CORPUS,120,0,64,Percussion Kit,DRUM_KIT,PERC,STRONG,84,71064,CONTEXT_DEPENDENT,16,4,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
25d63fbe03f4b117c7be,FACTORY_CORPUS,120,0,65,Latin Perc. Kit1,DRUM_KIT,PERC,STRONG,15,10966,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
5dd58fc4622a888cb476,FACTORY_CORPUS,120,0,66,Trinity Perc.Kit,DRUM_KIT,PERC,STRONG,36,46114,CONTEXT_DEPENDENT,16,4,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
75262399718d5270c98d,FACTORY_CORPUS,120,0,67,i30 Perc. Kit,DRUM_KIT,PERC,GOOD,8,4132,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
72152df011512c11aa1b,FACTORY_CORPUS,120,0,68,Latin Perc. Kit2,DRUM_KIT,PERC,FALLBACK,1,384,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
61a93cfcee3c95a89033,FACTORY_CORPUS,120,0,72,Hip Hop Kit RX,DRUM_KIT,DRUM,FALLBACK,2,2097,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
e9a973c9a9679c63e57a,FACTORY_CORPUS,120,0,73,Techno Kit RX,DRUM_KIT,DRUM,LIMITED,3,3823,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
2f369c46200f45903899,FACTORY_CORPUS,120,0,74,Dance Kit RX,DRUM_KIT,DRUM,FALLBACK,1,1162,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
5073b876298f88c4018d,FACTORY_CORPUS,120,0,89,Pop Std. Kit 1,DRUM_KIT,DRUM,STRONG,19,20937,STABLE,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
5074633d63ed4d26c205,FACTORY_CORPUS,120,0,90,Pop Std. Kit 2,DRUM_KIT,DRUM,STRONG,10,10780,MODERATE,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
4a01204d00245905ce92,FACTORY_CORPUS,120,0,96,Elektro Kit 1,DRUM_KIT,DRUM,FALLBACK,2,2974,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
ab5e5a55b307b4e8742f,FACTORY_CORPUS,120,0,97,Elektro Kit 2,DRUM_KIT,DRUM,FALLBACK,1,1307,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
a62930c00cd8a3f2a24d,FACTORY_CORPUS,120,0,117,Arabian Kit 2,DRUM_KIT,PERC,FALLBACK,2,6023,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
9919d6a1db4a4dd679e6,FACTORY_CORPUS,120,0,122,Electro Kit,DRUM_KIT,PERC,FALLBACK,2,883,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
5ad8f56e45a4e84af8d4,FACTORY_CORPUS,120,0,123,Analog Kit,DRUM_KIT,PERC,STRONG,12,14508,CONTEXT_DEPENDENT,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
6ce29a1ace3b40b3f104,FACTORY_CORPUS,120,0,125,Brush Kit 1,DRUM_KIT,DRUM,STRONG,11,11255,CONTEXT_DEPENDENT,16,4,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
5b80f52a428ee08e9261,FACTORY_CORPUS,121,0,0,AcousticPiano GM,PIANO,ACC1,STRONG,31,15830,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
7d826f149ab5696c8c0d,FACTORY_CORPUS,121,0,1,Bright Piano GM,PIANO,ACC1,GOOD,7,2736,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
be2123faa70b47a32c36,FACTORY_CORPUS,121,0,3,Honky-Tonk GM,PIANO,ACC1,FALLBACK,2,1858,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
bd98c5f86aa32e905807,FACTORY_CORPUS,121,0,4,E. Piano 1 GM,PIANO,ACC1,LIMITED,4,1120,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
cebd7a7d182642aafd01,FACTORY_CORPUS,121,0,5,E. Piano 2 GM,PIANO,ACC1,LIMITED,3,691,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
c1e5653cc6a9adb04784,FACTORY_CORPUS,121,0,7,Clav GM,PIANO,ACC2,FALLBACK,1,282,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
70952c9413b559124433,FACTORY_CORPUS,121,0,8,Celesta GM,CHROMATIC_PERC,ACC4,LIMITED,3,594,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
df4a63f0d790ffe085a2,FACTORY_CORPUS,121,0,9,Glockenspiel GM,CHROMATIC_PERC,ACC3,LIMITED,4,1297,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
dd32d79f1f49e02a808a,FACTORY_CORPUS,121,0,11,Vibraphone 1 GM,CHROMATIC_PERC,ACC3,GOOD,7,1335,CONTEXT_DEPENDENT,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
02c2c267be2fabea8c48,FACTORY_CORPUS,121,0,12,Marimba GM,CHROMATIC_PERC,ACC5,GOOD,7,4999,CONTEXT_DEPENDENT,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
f8919884d4b9692cbb03,FACTORY_CORPUS,121,0,13,Xylophone GM,CHROMATIC_PERC,ACC2,FALLBACK,1,82,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
a8a2307ae88b397e5e40,FACTORY_CORPUS,121,0,15,Dulcimer GM,CHROMATIC_PERC,ACC2,FALLBACK,2,12,UNKNOWN,13,7,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
ebce546fc530904a40ff,FACTORY_CORPUS,121,0,17,Perc. Organ GM,ORGAN,ACC1,FALLBACK,2,982,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
a8cbeea8d68e8f9ee5ae,FACTORY_CORPUS,121,0,21,Accordion GM,ACCORDION_REED,ACC1,LIMITED,3,1281,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
73557013c80e1c7d4f3d,FACTORY_CORPUS,121,0,24,Nylon Guitar GM,GUITAR,ACC2,FALLBACK,1,16,UNKNOWN,13,7,False,velocity_triggered_sample_switching,COMPLETE_WITH_EXPLICIT_UNKNOWNS
d7ba088ce039bb68d1bb,FACTORY_CORPUS,121,0,25,Steel Guitar GM,GUITAR,ACC3,FALLBACK,2,493,UNKNOWN,15,5,False,velocity_triggered_sample_switching,COMPLETE_WITH_EXPLICIT_UNKNOWNS
d0d13a032c9012924875,FACTORY_CORPUS,121,0,26,Jazz Guitar GM,GUITAR,ACC1,FALLBACK,2,1585,UNKNOWN,14,6,False,velocity_triggered_sample_switching,COMPLETE_WITH_EXPLICIT_UNKNOWNS
5fb8c85bc748c8137edc,FACTORY_CORPUS,121,0,27,Clean Guitar GM,GUITAR,ACC2,FALLBACK,1,672,UNKNOWN,14,6,False,velocity_triggered_sample_switching,COMPLETE_WITH_EXPLICIT_UNKNOWNS
4eb3ef9f464b116d1d0a,FACTORY_CORPUS,121,0,28,AcousticPiano GM,GUITAR,ACC4,FALLBACK,1,241,UNKNOWN,16,4,False,velocity_triggered_sample_switching,COMPLETE_WITH_EXPLICIT_UNKNOWNS
34e697986f13e5982aab,FACTORY_CORPUS,121,0,28,Muted Guitar GM,GUITAR,ACC4,FALLBACK,1,143,UNKNOWN,15,5,False,velocity_triggered_sample_switching,COMPLETE_WITH_EXPLICIT_UNKNOWNS
ead2527b8217ac4c4955,FACTORY_CORPUS,121,0,32,Acoustic Bass GM,BASS,BASS,STRONG,17,4493,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
022155d868a4f8f7c740,FACTORY_CORPUS,121,0,33,Finger Bass GM,BASS,BASS,STRONG,31,11038,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
9e37cd793eea5c12a83e,FACTORY_CORPUS,121,0,34,Picked E.Bass GM,BASS,BASS,LIMITED,4,1912,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
dbdafb757c708c03e557,FACTORY_CORPUS,121,0,35,Fretless Bass GM,BASS,BASS,LIMITED,4,715,UNKNOWN,16,4,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
08efd6713e1f9a3ad347,FACTORY_CORPUS,121,0,38,Synth Bass 1 GM,BASS,BASS,FALLBACK,1,42,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
454b46d046ccaed1e5da,FACTORY_CORPUS,121,0,39,Synth Bass 2 GM,BASS,BASS,FALLBACK,2,256,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
ef8a33a86e9a52a2795e,FACTORY_CORPUS,121,0,45,Pizzicato Str.GM,STRINGS,ACC3,LIMITED,3,596,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
25fcdedbe6271e7510ec,FACTORY_CORPUS,121,0,46,Harp GM,STRINGS,ACC2,GOOD,6,2370,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
d528a9f842182894773b,FACTORY_CORPUS,121,0,47,Timpani GM,STRINGS,BASS,LIMITED,4,344,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
c1a5593554f4cb7c6819,FACTORY_CORPUS,121,0,48,Strings Ens.1 GM,ENSEMBLE,ACC4,GOOD,8,1305,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
01ca3b7b3fdb9619dff6,FACTORY_CORPUS,121,0,49,Strings Ens.2 GM,ENSEMBLE,ACC5,FALLBACK,1,2,UNKNOWN,10,10,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
8d954cb2cc75d37f1499,FACTORY_CORPUS,121,0,50,Synth Strings1GM,ENSEMBLE,ACC4,GOOD,9,1259,INSUFFICIENT_SPLIT_SUPPORT,16,4,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
5987cf198f35f08a26f0,FACTORY_CORPUS,121,0,52,Choir Aahs GM,ENSEMBLE,ACC4,FALLBACK,2,166,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
a771693e6fb455410cbb,FACTORY_CORPUS,121,0,54,Synth Voice GM,ENSEMBLE,ACC4,FALLBACK,1,96,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
301d3833bc7464647197,FACTORY_CORPUS,121,0,59,Mute Trumpet GM,BRASS,ACC3,FALLBACK,2,320,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
4d5159284f75fed22106,FACTORY_CORPUS,121,0,60,French Horn GM,BRASS,ACC2,LIMITED,3,346,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
7adaa86cd0f719f39698,FACTORY_CORPUS,121,0,66,Tenor Sax GM,REED,ACC4,FALLBACK,1,511,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
78694d6b9688a879b514,FACTORY_CORPUS,121,0,67,Baritone Sax GM,REED,ACC4,FALLBACK,1,215,UNKNOWN,16,4,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
c658b5033afcb3f54f26,FACTORY_CORPUS,121,0,70,Bassoon GM,REED,ACC3,FALLBACK,1,72,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
158dffd77e29c2a00905,FACTORY_CORPUS,121,0,73,Flute GM,PIPE,ACC1,FALLBACK,1,48,UNKNOWN,13,7,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
6d48aeb3c520532a4c1e,FACTORY_CORPUS,121,0,76,Blown Bottle GM,PIPE,ACC5,FALLBACK,1,402,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
09db656dd4a9d879d1d9,FACTORY_CORPUS,121,0,81,Lead Saw GM,SYNTH_LEAD,ACC2,FALLBACK,1,1046,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
0905dd9311a0a53e55ac,FACTORY_CORPUS,121,0,86,Fifths Lead GM,SYNTH_LEAD,ACC3,FALLBACK,1,73,UNKNOWN,13,7,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
3098c8e5f48a14d46d32,FACTORY_CORPUS,121,0,88,New Age Pad GM,SYNTH_PAD,ACC3,FALLBACK,1,126,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
e7568ec32fa10857a92d,FACTORY_CORPUS,121,0,93,Metallic Pad GM,SYNTH_PAD,ACC1,FALLBACK,1,4,UNKNOWN,12,8,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
734256d4fde6efb8e21b,FACTORY_CORPUS,121,0,94,Halo Pad GM,SYNTH_PAD,ACC4,FALLBACK,1,88,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
2f2e3ba04e1f6e07e96c,FACTORY_CORPUS,121,0,95,Sweep Pad GM,SYNTH_PAD,ACC4,FALLBACK,1,120,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
507badc116d1a6e9f5dc,FACTORY_CORPUS,121,0,98,Crystal GM,SYNTH_FX,ACC2,FALLBACK,1,77,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
5f823643dcd30772907b,FACTORY_CORPUS,121,0,99,Atmosphere GM,SYNTH_FX,ACC1,FALLBACK,2,42,UNKNOWN,13,7,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
28a687de1be74c690a67,FACTORY_CORPUS,121,0,100,Brightness GM,SYNTH_FX,ACC3,FALLBACK,1,598,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
83e1e11873e84c146901,FACTORY_CORPUS,121,0,105,Banjo GM,ETHNIC,ACC3,FALLBACK,2,1851,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
94bd1425b474a7dbc8f4,FACTORY_CORPUS,121,0,106,Shamisen GM,ETHNIC,ACC2,FALLBACK,2,791,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
fba2f058e65f2b8f83eb,FACTORY_CORPUS,121,0,110,Fiddle GM,ETHNIC,ACC4,FALLBACK,2,1112,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
1cc098c6a9e085f41971,FACTORY_CORPUS,121,0,112,Tinkle Bell GM,PERCUSSIVE,ACC5,FALLBACK,1,204,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
49523b6a5a0eebdb250c,FACTORY_CORPUS,121,0,116,Taiko Drum GM,PERCUSSIVE,ACC3,FALLBACK,1,30,UNKNOWN,11,9,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
e4addb542ed1378c6ec4,FACTORY_CORPUS,121,0,120,Gtr FretNoise GM,SFX,ACC4,FALLBACK,1,202,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
2e7c0d8225d26bdc6689,FACTORY_CORPUS,121,1,0,Ac. Piano Wide,PIANO,ACC1,GOOD,5,2935,INSUFFICIENT_SPLIT_SUPPORT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
f860a3096d855641a0ff,FACTORY_CORPUS,121,1,1,Bright PianoWide,PIANO,ACC1,FALLBACK,2,1331,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
0139483d998aee2599f7,FACTORY_CORPUS,121,1,4,Detuned EP 1,PIANO,ACC1,LIMITED,4,572,UNKNOWN,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
a2a7233360a5d1f84fd9,FACTORY_CORPUS,121,1,5,Detuned EP 2,PIANO,ACC1,FALLBACK,2,16,UNKNOWN,10,10,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
b355143d2608069fe9fc,FACTORY_CORPUS,121,1,7,Pulse Clav,PIANO,ACC2,FALLBACK,2,812,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
3b498720287f6c123fd0,FACTORY_CORPUS,121,1,11,Vibrap. Wide,CHROMATIC_PERC,ACC2,GOOD,5,619,INSUFFICIENT_SPLIT_SUPPORT,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
87f66f0556fd72a5ee04,FACTORY_CORPUS,121,1,15,Santur,CHROMATIC_PERC,ACC4,FALLBACK,1,96,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
7f58deda2efe7eeadbc0,FACTORY_CORPUS,121,1,17,Det. Perc. Organ,ORGAN,ACC2,FALLBACK,2,523,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
58f5c56748d85d6f3983,FACTORY_CORPUS,121,1,20,Puff Organ,ORGAN,ACC5,FALLBACK,1,129,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
13af61a94fe8b7278920,FACTORY_CORPUS,121,1,22,Sweet Harmonica,ACCORDION_REED,ACC4,GOOD,7,1162,CONTEXT_DEPENDENT,15,5,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
f433c4a54e15a06a4c65,FACTORY_CORPUS,121,1,23,Fisa Tango!,ORGAN,ACC3,FALLBACK,1,857,UNKNOWN,14,6,False,,COMPLETE_WITH_EXPLICIT_UNKNOWNS
e06b0563ce478840e645,FACTORY_CORPUS,121,1,25,12 Strings Gtr,GUITAR,ACC1,FALLBACK,1,2,UNKNOWN,10,10,False,velocity_triggered_sample_switching,COMPLETE_WITH_EXPLICIT_UNKNOWNS
c89079a3b25d7d087c19,FACTORY_CORPUS,121,1,26,Pedal Steel Gtr1,GUITAR,ACC3,STRONG,10,4173,CONTEXT_DEPENDENT,16,4,False,velocity_triggered_sample_switching,COMPLETE_WITH_EXPLICIT_UNKNOWNS
68c3346a044d821a08b3,FACTORY_CORPUS,121,1,28,Funky Cut Gtr,GUITAR,ACC1,FALLBACK,1,1910,UNKNOWN,15,5,False,velocity_triggered_sample_switching,COMPLETE_WITH_EXPLICIT_UNKNOWNS
27fbbc0daa625bc616d1,FACTORY_CORPUS,121,1,29,Guitar Pinch,GUITAR,ACC1,FALLBACK,1,303,UNKNOWN,16,4,False,velocity_triggered_sample_switching,COMPLETE_WITH_EXPLICIT_UNKNOWNS
