instrument_profile_id,msb,lsb,program,sound,role,family,origin,support_grade,stability,routing,protected,eligible_defects,controller_guards,grouped_proxy_models,unknown_count
NIP-b3cd844fe9f463c12bfc,121,22,27,Clean Jazz 1,ACC4,GUITAR,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,7
NIP-0812fccfcdab53cea587,121,22,61,Dyna Brass 2,ACC3,BRASS,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,6
NIP-8be9210c655552588e8f,121,23,4,Bell E. Piano 1,ACC5,PIANO,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,64,,7
NIP-d8af04a03369f7a7b009,121,23,16,Theatre Organ 2,ACC4,ORGAN,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|GATE_OVERLAP,,,6
NIP-fbde67738057be16d3d7,121,23,21,Master Accordion,ACC5,ACCORDION_REED,FACTORY_CORPUS,GOOD,CONTEXT_DEPENDENT,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,6
NIP-23b95233a97cd838fd87,121,23,61,Sforzato Brass,ACC2,BRASS,FACTORY_CORPUS,GOOD,MODERATE,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,5
NIP-9b499518953ddfeecb49,121,24,25,Pop SteelGtr RX1,ACC4,GUITAR,FACTORY_CORPUS,FALLBACK,UNKNOWN,PRESERVE,True,,1|2|64|80|81,,5
NIP-277b4b0478aeb178fffa,121,24,27,'54 E. Guitar,ACC1,GUITAR,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE|CHORD_DESYNC|GROOVE_DRIFT,1|2|64|80|81,,5
NIP-fd4a21c5dc3b4a4448cc,121,24,56,Trumpet DNC,MANUAL_ONLY,BRASS,OFFICIAL_MANUAL_ONLY,NO_FACTORY_SUPPORT,NO_FACTORY_SUPPORT,PRESERVE,True,,1|2|64|80|81|aftertouch|pitch_bend,,22
NIP-ef636b01e202d9aa5d67,121,24,61,Double Brass,ACC2,BRASS,FACTORY_CORPUS,FALLBACK,UNKNOWN,EXACT_EVIDENCE_ANALYZE,False,ONSET_SPIKE|GATE_TRUNCATE,1|2|64|80|81|aftertouch|pitch_bend,,5
