msb,lsb,program,kit,key,hits,styles,v_absmin,v_workmin,v_idealmin,v_center,v_idealmax,v_workmax,v_absmax,dur_center,top_positions
120,0,2,Standard Kit RX3,51,2070,17,34.0,60.0,66.0,85.0,95.0,107.1,127.0,26.0,"[[0,1007],[96,325],[132,311],[144,192],[120,121],[48,54],[24,32],[156,15]]"
120,0,5,Standard Kit RX1,40,1954,24,7.0,43.3,60.25,102.0,124.0,125.0,127.0,1.0,"[[0,1212],[144,177],[96,176],[60,108],[48,106],[132,67],[156,35],[180,25]]"
120,0,5,Standard Kit RX1,51,1936,17,5.0,46.0,65.0,87.0,100.0,113.5,127.0,2.0,"[[0,974],[132,255],[96,248],[156,132],[60,127],[144,96],[48,92],[180,2]]"
120,0,64,Percussion Kit,68,1905,19,31.0,58.0,60.0,80.0,96.0,105.0,126.0,10.0,"[[96,816],[0,421],[144,329],[48,263],[132,44],[180,16],[60,13],[12,3]]"
120,0,5,Standard Kit RX1,46,1897,27,18.0,63.0,73.0,90.0,110.0,114.0,127.0,2.0,"[[0,832],[96,632],[144,104],[156,66],[108,55],[132,53],[60,49],[180,32]]"
120,0,1,Standard Kit RX2,36,1855,12,2.0,90.0,110.0,116.0,125.0,127.0,127.0,1.0,"[[0,1480],[96,160],[132,94],[144,80],[156,25],[60,10],[168,4],[48,2]]"
120,0,41,Brush Kit 2,38,1848,9,16.0,37.0,41.0,62.0,79.0,104.0,120.0,1.0,"[[96,804],[0,555],[156,214],[144,122],[48,96],[168,40],[132,9],[72,4]]"
120,0,41,Brush Kit 2,37,1829,7,4.0,30.0,37.0,55.0,70.0,80.0,120.0,1.0,"[[0,596],[96,547],[144,414],[48,227],[156,19],[72,16],[60,4],[84,4]]"
120,0,34,Jazz Kit RX2,51,1807,19,17.0,53.0,62.0,70.0,100.0,110.0,123.0,26.0,"[[0,740],[96,482],[144,217],[60,151],[132,149],[120,44],[48,21],[156,2]]"
120,0,43,Brush Kit RX2,44,1792,9,25.0,62.0,79.0,90.0,106.0,111.0,127.0,1.0,"[[0,1612],[96,155],[132,12],[60,6],[144,4],[168,2],[180,1]]"
120,0,33,Jazz Kit RX1,40,1775,19,12.0,50.0,86.0,96.0,118.0,127.0,127.0,32.0,"[[0,983],[96,202],[48,168],[132,154],[144,82],[60,79],[156,26],[120,24]]"
120,0,66,Trinity Perc.Kit,91,1774,23,30.0,80.0,90.0,102.0,108.75,113.0,123.0,45.0,"[[0,873],[96,440],[132,265],[60,53],[36,49],[156,35],[12,25],[48,8]]"
120,0,4,Pop Std. Kit RX,36,1770,12,50.0,79.0,93.0,106.0,109.0,116.0,127.0,29.0,"[[0,1115],[96,271],[132,219],[144,73],[60,43],[48,17],[120,12],[12,7]]"
120,0,34,Jazz Kit RX2,46,1712,32,39.0,70.0,86.0,95.0,108.25,114.0,127.0,2.0,"[[96,1322],[0,270],[132,66],[144,16],[156,15],[48,13],[12,4],[84,3]]"
120,0,90,Pop Std. Kit 2,54,1708,8,30.0,42.0,60.0,100.0,111.0,127.0,127.0,39.0,"[[0,796],[96,519],[144,215],[48,110],[132,32],[36,32],[108,2],[156,2]]"
120,0,30,House Kit RX1,54,1695,7,25.0,47.0,63.0,71.0,95.0,99.0,127.0,1.0,"[[96,621],[0,474],[144,165],[60,159],[156,158],[48,118]]"
120,0,5,Standard Kit RX1,35,1677,13,35.0,78.0,85.0,107.0,120.0,125.0,127.0,1.0,"[[0,655],[96,436],[132,197],[144,158],[60,104],[48,50],[156,50],[180,6]]"
120,0,123,Analog Kit,36,1676,11,27.0,55.0,71.0,90.0,102.0,122.0,127.0,1.0,"[[0,592],[96,514],[144,296],[48,270],[24,4]]"
120,0,66,Trinity Perc.Kit,72,1661,13,29.0,57.0,68.0,84.0,95.0,103.0,116.0,1.0,"[[0,513],[96,469],[144,229],[156,176],[132,132],[48,67],[120,55],[84,8]]"
120,0,89,Pop Std. Kit 1,38,1615,14,58.0,98.0,112.0,118.0,122.0,127.0,127.0,29.0,"[[0,1152],[96,189],[144,91],[48,83],[120,51],[60,11],[12,10],[180,10]]"
