msb,lsb,program,sound,role,family,notes,styles,grade,v_workmin,v_idealmin,v_center,v_idealmax,v_workmax,key_workmin,key_center,key_workmax,special_pitch_candidates
120,0,3,Ambient Kit RX,DRUM,DRUM_KIT,1738,2,FALLBACK,44.0,53.0,77.0,108.0,127.0,19.0,49.0,69.0,"[{""min"":2,""max"":19,""center"":10.77,""count"":201,""fraction"":0.11565}]"
121,10,30,Dist. Guitar RX2,ACC5,GUITAR,1598,7,GOOD,34.0,48.0,60.0,93.0,113.0,48.0,51.5,65.0,[]
120,0,19,Power Kit RX2,PERC,DRUM_KIT,1182,1,FALLBACK,39.0,39.0,63.0,113.0,127.0,17.0,54.0,69.0,"[{""min"":9,""max"":9,""center"":9.0,""count"":109,""fraction"":0.09222},{""min"":17,""max"":18,""center"":17.23,""count"":75,""fraction"":0.06345},{""min"":69,""max"":69,""center"":69.0,""count"":318,""fraction"":0.26904},{""min"":82,""max"":82,""center"":82.0,""count"":40,""fraction"":0.03384},{""min"":127,""max"":127,""center"":127.0,""count"":13,""fraction"":0.011}]"
121,15,28,Clean Guitar RX2,ACC1,GUITAR,1167,3,LIMITED,37.0,86.0,90.0,95.0,98.0,50.0,60.0,67.0,[]
120,0,74,Dance Kit RX,DRUM,DRUM_KIT,1162,1,FALLBACK,92.0,120.0,120.0,122.0,127.0,36.0,42.0,82.0,"[{""min"":54,""max"":57,""center"":54.92,""count"":137,""fraction"":0.1179},{""min"":69,""max"":69,""center"":69.0,""count"":112,""fraction"":0.09639},{""min"":82,""max"":82,""center"":82.0,""count"":224,""fraction"":0.19277}]"
121,10,34,Picked Bass RX,BASS,BASS,1071,4,LIMITED,50.0,76.0,84.0,90.0,97.0,31.0,36.0,48.0,"[{""min"":97,""max"":106,""center"":101.07,""count"":68,""fraction"":0.06349}]"
120,0,18,Power Kit RX1,DRUM,DRUM_KIT,1059,3,LIMITED,63.0,72.0,88.0,100.0,110.0,35.0,39.0,51.0,[]
121,24,25,Pop SteelGtr RX1,ACC4,GUITAR,954,2,FALLBACK,66.0,74.0,79.0,79.0,100.0,48.0,60.0,101.0,"[{""min"":101,""max"":101,""center"":101.0,""count"":184,""fraction"":0.19287}]"
121,5,36,SlapPick Bass RX,BASS,BASS,859,2,FALLBACK,68.0,72.0,94.0,111.0,111.0,33.0,48.0,101.0,"[{""min"":99,""max"":108,""center"":100.74,""count"":357,""fraction"":0.4156}]"
121,2,7,Clav Wah RX,ACC3,PIANO,611,1,FALLBACK,43.0,54.0,64.0,76.0,87.0,43.0,55.0,60.0,[]
121,5,7,Clav RX,ACC2,PIANO,438,1,FALLBACK,64.0,76.0,96.0,105.0,111.0,48.0,55.0,67.0,[]
120,0,35,Jazz Kit RX2,DRUM,DRUM_KIT,53,1,FALLBACK,76.0,85.0,110.0,121.0,126.8,22.6,44.0,51.0,"[{""min"":13,""max"":13,""center"":13.0,""count"":2,""fraction"":0.03774},{""min"":22,""max"":25,""center"":23.5,""count"":4,""fraction"":0.07547}]"
121,32,30,Dist. Guitar RX2,ACC4,GUITAR,21,1,FALLBACK,44.0,47.0,55.0,60.0,79.0,62.0,62.0,62.0,[]
