msb,lsb,program,sound,role,family,rx,dnc,notes,styles,segments,grade,v_absmin,v_workmin,v_idealmin,v_center,v_idealmax,v_workmax,v_absmax,k_p10,k_p50,k_p90,dur_p10,dur_p50,dur_p90,gate_p10,gate_p50,gate_p90,special_clusters
121,1,26,Pedal Steel Gtr1,ACC3,GUITAR,False,False,4173,10,124,STRONG,17.0,43.0,57.0,70.0,87.0,99.0,124.0,48.0,64.0,84.0,39.0,48.0,433.0,0.292,0.906,1.862,"[{""min"":96,""max"":103,""center"":99.15,""count"":341,""fraction"":0.08172},{""min"":124,""max"":125,""center"":124.48,""count"":44,""fraction"":0.01054}]"
120,0,67,i30 Perc. Kit,PERC,DRUM_KIT,False,False,4132,8,144,GOOD,18.0,46.1,69.0,83.0,98.0,115.0,127.0,30.0,46.0,70.0,2.0,26.0,79.0,0.021,0.167,0.588,"[{""min"":22,""max"":33,""center"":29.74,""count"":1035,""fraction"":0.25048},{""min"":42,""max"":53,""center"":46.47,""count"":1459,""fraction"":0.3531}]"
121,21,27,Solid Guitar,ACC2,GUITAR,False,False,4106,7,101,GOOD,17.0,48.0,59.0,72.0,87.0,102.0,127.0,50.0,60.0,97.0,30.0,93.0,388.0,0.218,0.867,3.088,"[{""min"":96,""max"":104,""center"":99.8,""count"":268,""fraction"":0.06527},{""min"":124,""max"":124,""center"":124.0,""count"":167,""fraction"":0.04067}]"
121,21,28,5th Mute Gtr,ACC3,GUITAR,False,False,4082,5,60,GOOD,20.0,31.0,43.0,69.0,92.0,106.0,127.0,55.0,64.0,101.0,22.0,45.0,143.0,0.104,0.859,1.0,"[{""min"":96,""max"":105,""center"":100.96,""count"":628,""fraction"":0.15385},{""min"":122,""max"":122,""center"":122.0,""count"":48,""fraction"":0.01176}]"
121,25,25,Pop SteelGtr RX2,ACC2,GUITAR,True,False,4066,3,56,LIMITED,20.0,55.0,65.0,81.0,93.0,100.0,125.0,55.0,63.0,104.0,42.0,98.0,430.0,0.438,1.022,3.46,"[{""min"":96,""max"":127,""center"":104.98,""count"":938,""fraction"":0.23069}]"
121,3,33,Finger E.Bass2,BASS,BASS,False,False,4014,12,178,STRONG,1.0,72.0,90.0,106.0,114.0,124.0,127.0,31.0,36.0,45.7,27.0,87.0,1536.0,0.373,0.797,1.0,[]
121,7,48,Arco Strings,ACC5,ENSEMBLE,False,False,3936,12,126,STRONG,2.0,70.0,84.0,100.0,108.0,114.0,127.0,50.5,64.0,79.0,22.0,53.0,392.0,0.115,0.438,1.104,[]
121,7,27,New Stra.Guitar,ACC2,GUITAR,False,False,3935,7,89,GOOD,29.0,63.0,72.0,86.0,98.0,110.0,127.0,48.0,60.0,67.0,7.0,78.0,575.0,0.044,0.907,3.562,[]
121,20,25,Steel Guitar 3,ACC1,GUITAR,False,False,3933,7,107,GOOD,19.0,62.0,74.0,87.0,96.0,114.0,124.0,50.0,58.0,65.0,52.0,188.0,568.0,0.949,1.917,4.979,[]
120,0,73,Techno Kit RX,DRUM,DRUM_KIT,True,False,3823,3,44,LIMITED,1.0,43.0,74.0,103.0,114.0,127.0,127.0,35.0,42.0,80.0,1.0,1.0,1.0,0.01,0.017,0.028,"[{""min"":22,""max"":24,""center"":23.12,""count"":188,""fraction"":0.04918},{""min"":80,""max"":88,""center"":82.42,""count"":538,""fraction"":0.14073}]"
121,13,25,Steel Slide Pro1,ACC1,GUITAR,False,False,3765,3,51,LIMITED,35.0,70.0,70.0,80.0,90.0,93.0,121.0,55.0,60.0,98.0,34.0,46.0,94.0,0.245,0.818,1.939,"[{""min"":96,""max"":110,""center"":100.32,""count"":944,""fraction"":0.25073}]"
121,6,35,Woofer Pusher B.,BASS,BASS,False,False,3722,15,216,STRONG,28.0,80.0,87.0,100.0,108.0,111.0,127.0,26.0,36.0,91.6,12.0,70.0,264.0,0.24,0.75,1.0,"[{""min"":97,""max"":106,""center"":100.51,""count"":296,""fraction"":0.07953}]"
120,0,13,HipHop Kit 2,PERC,DRUM_KIT,False,False,3629,6,86,GOOD,18.0,50.0,72.0,101.0,117.0,126.0,127.0,35.0,42.0,82.0,1.0,1.0,47.0,0.01,0.01,0.49,"[{""min"":9,""max"":21,""center"":10.82,""count"":165,""fraction"":0.04547},{""min"":78,""max"":82,""center"":81.85,""count"":415,""fraction"":0.11436}]"
